beneficiary_id,district,name,land_area_ha,primary_crop,income_category,aadhaar_verified,status,fund_amount_inr,enrollment_month,anomaly_flag
UK000001,Dehradun,Farmer_1,1.1,Mustard,2,1,Verified,11600,2024-06,0
UK000002,Dehradun,Farmer_2,0.93,Rice,2,1,Verified,8800,2024-10,0
UK000003,Dehradun,Farmer_3,0.94,Mustard,2,1,Verified,10000,2024-12,0
UK000004,Dehradun,Farmer_4,1.24,Potato,2,1,Verified,12200,2024-04,0
UK000005,Dehradun,Farmer_5,0.72,Mustard,2,1,Verified,8400,2024-09,0
UK000006,Dehradun,Farmer_6,0.99,Apple,2,1,Verified,10800,2024-09,0
UK000007,Dehradun,Farmer_7,0.86,Lentil,2,1,Verified,10200,2024-05,0
UK000008,Dehradun,Farmer_8,0.59,Apple,2,1,Verified,9600,2024-07,0
UK000009,Dehradun,Farmer_9,0.93,Rice,2,1,Verified,11400,2024-07,0
UK000010,Dehradun,Farmer_10,1.1,Soybean,2,1,Verified,9800,2024-09,0
UK000011,Dehradun,Farmer_11,0.71,Rice,2,1,Verified,9600,2024-06,0
UK000012,Dehradun,Farmer_12,0.56,Soybean,2,1,Verified,8300,2024-10,0
UK000013,Dehradun,Farmer_13,0.83,Apple,2,0,Pending,9100,2024-04,0
UK000014,Dehradun,Farmer_14,0.74,Potato,2,1,Verified,8800,2024-05,0
UK000015,Dehradun,Farmer_15,1.05,Soybean,2,1,Pending,11900,2024-10,0
UK000016,Dehradun,Farmer_16,0.75,Maize,2,1,Verified,10300,2024-07,0
UK000017,Dehradun,Farmer_17,0.9,Lentil,2,1,Verified,9300,2024-09,0
UK000018,Dehradun,Farmer_18,0.64,Soybean,2,0,Rejected,9900,2024-05,0
UK000019,Dehradun,Farmer_19,0.98,Lentil,2,1,Verified,10100,2024-05,0
UK000020,Dehradun,Farmer_20,1.02,Soybean,2,1,Verified,9800,2024-12,0
UK000021,Dehradun,Farmer_21,1.25,Rice,2,1,Verified,12200,2024-12,0
UK000022,Dehradun,Farmer_22,0.77,Apple,2,1,Verified,9100,2024-05,0
UK000023,Dehradun,Farmer_23,1.3,Potato,2,1,Verified,12500,2024-12,0
UK000024,Dehradun,Farmer_24,0.91,Rice,2,1,Verified,11200,2024-08,0
UK000025,Dehradun,Farmer_25,0.98,Maize,2,1,Verified,11800,2024-12,0
UK000026,Dehradun,Farmer_26,1.13,Wheat,2,0,Pending,10900,2024-09,0
UK000027,Dehradun,Farmer_27,1.35,Mustard,2,1,Verified,10800,2024-04,0
UK000028,Dehradun,Farmer_28,0.86,Rice,2,1,Verified,10700,2024-05,0
UK000029,Dehradun,Farmer_29,1.21,Maize,2,1,Verified,11800,2024-06,0
UK000030,Dehradun,Farmer_30,0.86,Maize,2,1,Pending,10100,2024-08,0
UK000031,Dehradun,Farmer_31,1.28,Mustard,2,1,Pending,11100,2024-08,0
UK000032,Dehradun,Farmer_32,0.72,Soybean,2,1,Verified,8800,2024-05,0
UK000033,Dehradun,Farmer_33,1.21,Mustard,2,1,Verified,9800,2024-04,0
UK000034,Dehradun,Farmer_34,0.94,Mustard,2,1,Verified,11500,2024-05,0
UK000035,Dehradun,Farmer_35,1.07,Soybean,2,1,Verified,10900,2024-07,0
UK000036,Dehradun,Farmer_36,0.98,Soybean,2,1,Verified,11300,2024-07,0
UK000037,Dehradun,Farmer_37,0.94,Lentil,2,1,Verified,10100,2024-09,0
UK000038,Dehradun,Farmer_38,1.01,Wheat,2,1,Verified,9100,2024-05,0
UK000039,Dehradun,Farmer_39,0.94,Mustard,2,1,Verified,10400,2024-07,0
UK000040,Dehradun,Farmer_40,0.79,Maize,2,1,Verified,9700,2024-08,0
UK000041,Dehradun,Farmer_41,1.3,Rice,2,1,Verified,12100,2024-04,0
UK000042,Dehradun,Farmer_42,1.11,Wheat,2,1,Verified,12300,2024-05,0
UK000043,Dehradun,Farmer_43,1.04,Mustard,2,1,Verified,11900,2024-10,0
UK000044,Dehradun,Farmer_44,1.15,Wheat,2,1,Verified,10200,2024-10,0
UK000045,Dehradun,Farmer_45,0.65,Soybean,2,1,Verified,8400,2024-06,0
UK000046,Dehradun,Farmer_46,0.97,Wheat,2,1,Verified,9000,2024-12,0
UK000047,Dehradun,Farmer_47,1.17,Maize,2,1,Verified,12600,2024-04,0
UK000048,Dehradun,Farmer_48,0.99,Maize,2,1,Verified,10800,2024-05,0
UK000049,Dehradun,Farmer_49,0.91,Mustard,2,1,Verified,10500,2024-04,0
UK000050,Dehradun,Farmer_50,1.03,Apple,2,1,Verified,9700,2024-08,0
UK000051,Dehradun,Farmer_51,0.92,Potato,2,1,Verified,9700,2024-11,0
UK000052,Dehradun,Farmer_52,1.15,Rice,2,1,Verified,10900,2024-04,0
UK000053,Dehradun,Farmer_53,1.0,Mustard,2,0,Rejected,9800,2024-12,0
UK000054,Dehradun,Farmer_54,0.9,Rice,2,0,Pending,9800,2024-07,0
UK000055,Dehradun,Farmer_55,0.8,Wheat,2,1,Verified,9200,2024-12,0
UK000056,Dehradun,Farmer_56,0.57,Maize,2,1,Verified,8000,2024-08,0
UK000057,Dehradun,Farmer_57,0.71,Mustard,2,1,Verified,8600,2024-09,0
UK000058,Dehradun,Farmer_58,0.83,Potato,2,1,Verified,9900,2024-12,0
UK000059,Dehradun,Farmer_59,0.96,Lentil,2,0,Pending,8900,2024-08,0
UK000060,Dehradun,Farmer_60,0.81,Potato,2,1,Verified,10500,2024-06,0
UK000061,Dehradun,Farmer_61,0.87,Rice,2,1,Verified,10200,2024-06,0
UK000062,Dehradun,Farmer_62,0.92,Maize,2,1,Verified,9100,2024-10,0
UK000063,Dehradun,Farmer_63,1.26,Wheat,2,1,Verified,10400,2024-09,0
UK000064,Dehradun,Farmer_64,0.64,Rice,2,1,Verified,10000,2024-09,0
UK000065,Dehradun,Farmer_65,0.61,Maize,2,1,Pending,10100,2024-07,0
UK000066,Dehradun,Farmer_66,1.09,Lentil,2,1,Verified,9800,2024-04,0
UK000067,Dehradun,Farmer_67,0.95,Mustard,2,1,Pending,9300,2024-08,0
UK000068,Dehradun,Farmer_68,0.65,Wheat,2,1,Verified,8500,2024-11,0
UK000069,Dehradun,Farmer_69,0.69,Mustard,2,1,Verified,8100,2024-07,0
UK000070,Dehradun,Farmer_70,0.95,Apple,2,1,Verified,11500,2024-08,0
UK000071,Dehradun,Farmer_71,0.83,Lentil,2,0,Pending,9400,2024-12,0
UK000072,Dehradun,Farmer_72,1.25,Potato,2,1,Verified,11700,2024-06,0
UK000073,Dehradun,Farmer_73,1.23,Apple,2,0,Rejected,11100,2024-09,0
UK000074,Dehradun,Farmer_74,0.98,Rice,2,0,Rejected,11700,2024-10,0
UK000075,Dehradun,Farmer_75,1.16,Mustard,2,1,Verified,10800,2024-09,0
UK000076,Dehradun,Farmer_76,0.97,Apple,2,0,Pending,10900,2024-09,0
UK000077,Dehradun,Farmer_77,0.53,Apple,2,1,Pending,9400,2024-10,0
UK000078,Dehradun,Farmer_78,0.88,Lentil,2,1,Verified,10400,2024-06,0
UK000079,Dehradun,Farmer_79,0.89,Potato,2,1,Verified,9900,2024-07,0
UK000080,Dehradun,Farmer_80,0.9,Apple,2,1,Verified,10000,2024-11,0
UK000081,Dehradun,Farmer_81,0.46,Maize,2,1,Verified,8100,2024-05,0
UK000082,Dehradun,Farmer_82,0.87,Apple,2,1,Verified,11000,2024-05,0
UK000083,Dehradun,Farmer_83,0.82,Mustard,2,1,Verified,8500,2024-06,0
UK000084,Dehradun,Farmer_84,0.74,Soybean,2,1,Verified,9500,2024-05,0
UK000085,Dehradun,Farmer_85,0.55,Lentil,2,0,Pending,8700,2024-11,0
UK000086,Dehradun,Farmer_86,0.72,Rice,2,1,Verified,8700,2024-10,0
UK000087,Dehradun,Farmer_87,0.81,Mustard,2,1,Verified,9700,2024-05,0
UK000088,Dehradun,Farmer_88,0.64,Apple,2,1,Verified,9600,2024-11,0
UK000089,Dehradun,Farmer_89,0.43,Soybean,2,1,Verified,9100,2024-06,0
UK000090,Dehradun,Farmer_90,0.89,Potato,2,1,Verified,11100,2024-07,0
UK000091,Dehradun,Farmer_91,0.95,Mustard,2,1,Verified,10100,2024-08,0
UK000092,Dehradun,Farmer_92,0.62,Mustard,2,1,Verified,8700,2024-08,0
UK000093,Dehradun,Farmer_93,1.03,Lentil,2,0,Pending,11300,2024-06,0
UK000094,Dehradun,Farmer_94,0.97,Soybean,2,1,Verified,9000,2024-10,0
UK000095,Dehradun,Farmer_95,0.57,Wheat,2,1,Verified,8900,2024-10,0
UK000096,Dehradun,Farmer_96,1.17,Potato,2,1,Pending,12300,2024-10,0
UK000097,Dehradun,Farmer_97,0.9,Mustard,2,1,Verified,9300,2024-11,0
UK000098,Dehradun,Farmer_98,0.59,Wheat,2,1,Verified,8600,2024-10,0
UK000099,Dehradun,Farmer_99,0.78,Soybean,2,1,Verified,11100,2024-06,0
UK000100,Dehradun,Farmer_100,0.98,Lentil,2,1,Verified,9100,2024-04,0
UK000101,Dehradun,Farmer_101,1.01,Potato,2,1,Verified,10000,2024-10,0
UK000102,Dehradun,Farmer_102,0.78,Apple,2,1,Verified,9100,2024-10,0
UK000103,Dehradun,Farmer_103,0.48,Soybean,2,0,Pending,9300,2024-04,0
UK000104,Dehradun,Farmer_104,1.12,Mustard,2,1,Pending,11800,2024-05,0
UK000105,Dehradun,Farmer_105,1.06,Wheat,2,1,Verified,9900,2024-06,0
UK000106,Dehradun,Farmer_106,0.85,Rice,2,1,Verified,9900,2024-07,0
UK000107,Dehradun,Farmer_107,0.67,Rice,2,1,Verified,10600,2024-06,0
UK000108,Dehradun,Farmer_108,1.15,Wheat,2,1,Verified,11300,2024-08,0
UK000109,Dehradun,Farmer_109,0.48,Mustard,2,1,Pending,8900,2024-05,0
UK000110,Dehradun,Farmer_110,1.32,Potato,2,1,Verified,12700,2024-05,0
UK000111,Dehradun,Farmer_111,1.2,Apple,2,1,Verified,11200,2024-05,0
UK000112,Dehradun,Farmer_112,0.98,Lentil,2,1,Verified,9200,2024-11,0
UK000113,Dehradun,Farmer_113,0.59,Maize,2,1,Pending,8200,2024-10,0
UK000114,Dehradun,Farmer_114,0.55,Soybean,2,1,Verified,8800,2024-11,0
UK000115,Dehradun,Farmer_115,0.84,Rice,2,1,Verified,11100,2024-08,0
UK000116,Dehradun,Farmer_116,1.39,Soybean,2,1,Verified,11300,2024-10,0
UK000117,Dehradun,Farmer_117,0.77,Apple,2,1,Verified,9200,2024-08,0
UK000118,Dehradun,Farmer_118,1.16,Potato,2,1,Pending,9400,2024-12,0
UK000119,Dehradun,Farmer_119,0.85,Mustard,2,1,Verified,10400,2024-11,0
UK000120,Dehradun,Farmer_120,0.62,Wheat,2,1,Verified,8600,2024-05,0
UK000121,Dehradun,Farmer_121,0.92,Apple,2,1,Verified,10400,2024-11,0
UK000122,Dehradun,Farmer_122,1.27,Apple,2,1,Verified,12100,2024-09,0
UK000123,Dehradun,Farmer_123,0.9,Mustard,2,1,Verified,9000,2024-09,0
UK000124,Dehradun,Farmer_124,1.03,Maize,2,1,Verified,9700,2024-07,0
UK000125,Dehradun,Farmer_125,0.79,Potato,2,1,Verified,10700,2024-05,0
UK000126,Dehradun,Farmer_126,0.22,Apple,2,1,Verified,7300,2024-06,0
UK000127,Dehradun,Farmer_127,0.95,Wheat,2,1,Verified,9700,2024-12,0
UK000128,Dehradun,Farmer_128,0.95,Soybean,2,1,Pending,11500,2024-05,0
UK000129,Dehradun,Farmer_129,0.75,Wheat,2,1,Verified,10900,2024-08,0
UK000130,Dehradun,Farmer_130,0.96,Rice,2,1,Verified,10300,2024-10,0
UK000131,Dehradun,Farmer_131,0.84,Potato,2,1,Verified,11400,2024-05,0
UK000132,Dehradun,Farmer_132,0.77,Lentil,2,1,Verified,10500,2024-07,0
UK000133,Dehradun,Farmer_133,1.08,Lentil,2,1,Verified,11000,2024-08,0
UK000134,Dehradun,Farmer_134,0.79,Rice,2,1,Verified,10100,2024-07,0
UK000135,Dehradun,Farmer_135,1.06,Rice,2,1,Verified,9100,2024-06,0
UK000136,Dehradun,Farmer_136,0.99,Soybean,2,1,Verified,9000,2024-08,0
UK000137,Dehradun,Farmer_137,0.8,Rice,2,1,Verified,11000,2024-07,0
UK000138,Dehradun,Farmer_138,1.38,Mustard,2,1,Verified,10500,2024-10,0
UK000139,Dehradun,Farmer_139,1.02,Maize,2,1,Verified,9200,2024-05,0
UK000140,Dehradun,Farmer_140,1.06,Potato,2,1,Verified,9500,2024-11,0
UK000141,Dehradun,Farmer_141,0.71,Soybean,2,1,Verified,8300,2024-11,0
UK000142,Dehradun,Farmer_142,0.33,Lentil,2,1,Verified,8400,2024-09,0
UK000143,Dehradun,Farmer_143,0.95,Wheat,2,1,Verified,10600,2024-08,0
UK000144,Dehradun,Farmer_144,1.27,Maize,2,1,Verified,11500,2024-11,0
UK000145,Dehradun,Farmer_145,0.75,Lentil,2,1,Verified,11000,2024-11,0
UK000146,Dehradun,Farmer_146,1.74,Lentil,2,1,Verified,12400,2024-09,0
UK000147,Dehradun,Farmer_147,1.04,Soybean,2,1,Verified,11200,2024-08,0
UK000148,Dehradun,Farmer_148,1.12,Wheat,2,1,Verified,9600,2024-11,0
UK000149,Dehradun,Farmer_149,1.22,Wheat,2,1,Verified,11100,2024-12,0
UK000150,Dehradun,Farmer_150,1.19,Apple,2,1,Verified,11600,2024-11,0
UK000151,Dehradun,Farmer_151,0.99,Potato,2,1,Verified,11700,2024-11,0
UK000152,Dehradun,Farmer_152,1.2,Wheat,2,1,Verified,11900,2024-07,0
UK000153,Dehradun,Farmer_153,1.16,Mustard,2,1,Verified,10900,2024-05,0
UK000154,Dehradun,Farmer_154,0.92,Maize,2,1,Verified,11500,2024-11,0
UK000155,Dehradun,Farmer_155,0.83,Soybean,2,1,Verified,9100,2024-11,0
UK000156,Dehradun,Farmer_156,0.65,Lentil,2,1,Verified,10400,2024-07,0
UK000157,Dehradun,Farmer_157,1.26,Potato,2,1,Verified,10900,2024-10,0
UK000158,Dehradun,Farmer_158,0.56,Potato,2,1,Verified,8400,2024-04,0
UK000159,Dehradun,Farmer_159,0.11,Soybean,2,1,Verified,7300,2024-06,0
UK000160,Dehradun,Farmer_160,0.42,Apple,2,1,Verified,9100,2024-12,0
UK000161,Dehradun,Farmer_161,1.36,Mustard,2,1,Verified,10800,2024-10,0
UK000162,Dehradun,Farmer_162,0.69,Wheat,2,1,Verified,10100,2024-09,0
UK000163,Dehradun,Farmer_163,0.99,Maize,2,1,Verified,11900,2024-11,0
UK000164,Dehradun,Farmer_164,0.67,Apple,2,1,Verified,10400,2024-05,0
UK000165,Dehradun,Farmer_165,0.63,Maize,2,1,Verified,10200,2024-10,0
UK000166,Dehradun,Farmer_166,0.86,Rice,2,0,Pending,10900,2024-11,0
UK000167,Dehradun,Farmer_167,0.82,Apple,2,1,Verified,9500,2024-12,0
UK000168,Dehradun,Farmer_168,0.96,Soybean,2,1,Verified,8900,2024-12,0
UK000169,Dehradun,Farmer_169,0.52,Mustard,2,1,Verified,8600,2024-05,0
UK000170,Dehradun,Farmer_170,0.49,Rice,2,1,Verified,7800,2024-11,0
UK000171,Dehradun,Farmer_171,1.12,Wheat,2,1,Verified,10500,2024-08,0
UK000172,Dehradun,Farmer_172,0.94,Mustard,2,1,Verified,10000,2024-12,0
UK000173,Dehradun,Farmer_173,0.97,Lentil,2,1,Verified,10400,2024-07,0
UK000174,Dehradun,Farmer_174,1.04,Mustard,2,1,Verified,11100,2024-11,0
UK000175,Dehradun,Farmer_175,0.63,Soybean,2,1,Verified,9700,2024-08,0
UK000176,Dehradun,Farmer_176,0.44,Soybean,2,1,Verified,9800,2024-09,0
UK000177,Dehradun,Farmer_177,1.27,Soybean,2,1,Verified,10400,2024-08,0
UK000178,Dehradun,Farmer_178,0.81,Soybean,2,1,Verified,9100,2024-05,0
UK000179,Dehradun,Farmer_179,0.2,Potato,2,1,Verified,8800,2024-04,0
UK000180,Dehradun,Farmer_180,0.54,Potato,2,1,Verified,9100,2024-04,0
UK000181,Dehradun,Farmer_181,0.9,Soybean,2,1,Verified,11000,2024-08,0
UK000182,Dehradun,Farmer_182,0.82,Apple,2,1,Verified,10300,2024-07,0
UK000183,Dehradun,Farmer_183,0.72,Maize,2,1,Verified,10700,2024-05,0
UK000184,Dehradun,Farmer_184,0.54,Potato,2,1,Verified,7600,2024-11,0
UK000185,Dehradun,Farmer_185,1.27,Apple,2,1,Verified,10300,2024-10,0
UK000186,Dehradun,Farmer_186,1.3,Apple,2,1,Verified,11600,2024-12,0
UK000187,Dehradun,Farmer_187,1.18,Soybean,2,1,Verified,12000,2024-08,0
UK000188,Dehradun,Farmer_188,1.38,Rice,2,1,Verified,13500,2024-11,0
UK000189,Dehradun,Farmer_189,1.38,Lentil,2,1,Verified,11400,2024-12,0
UK000190,Dehradun,Farmer_190,0.8,Wheat,2,1,Verified,9900,2024-08,0
UK000191,Dehradun,Farmer_191,0.73,Lentil,2,1,Verified,8400,2024-09,0
UK000192,Dehradun,Farmer_192,0.57,Wheat,2,1,Verified,8500,2024-12,0
UK000193,Dehradun,Farmer_193,0.69,Soybean,2,1,Verified,9800,2024-08,0
UK000194,Dehradun,Farmer_194,0.62,Wheat,2,1,Verified,8600,2024-04,0
UK000195,Dehradun,Farmer_195,1.33,Maize,2,1,Verified,11500,2024-10,0
UK000196,Dehradun,Farmer_196,1.2,Lentil,2,1,Verified,12500,2024-06,0
UK000197,Dehradun,Farmer_197,1.07,Potato,2,1,Verified,11400,2024-04,0
UK000198,Dehradun,Farmer_198,0.6,Soybean,2,1,Verified,10100,2024-07,0
UK000199,Dehradun,Farmer_199,0.78,Apple,2,1,Verified,9400,2024-04,0
UK000200,Dehradun,Farmer_200,0.61,Rice,2,1,Verified,8000,2024-11,0
UK000201,Dehradun,Farmer_201,0.47,Wheat,2,1,Verified,8000,2024-09,0
UK000202,Dehradun,Farmer_202,0.39,Mustard,2,1,Verified,9200,2024-05,0
UK000203,Dehradun,Farmer_203,0.51,Mustard,2,1,Verified,9500,2024-09,0
UK000204,Dehradun,Farmer_204,0.66,Wheat,2,1,Verified,10300,2024-08,0
UK000205,Dehradun,Farmer_205,1.03,Maize,2,1,Verified,11100,2024-05,0
UK000206,Dehradun,Farmer_206,1.04,Wheat,2,1,Verified,11600,2024-09,0
UK000207,Dehradun,Farmer_207,0.83,Wheat,2,1,Verified,10600,2024-06,0
UK000208,Dehradun,Farmer_208,1.04,Rice,2,1,Verified,10500,2024-11,0
UK000209,Dehradun,Farmer_209,0.67,Mustard,2,1,Verified,10000,2024-04,0
UK000210,Dehradun,Farmer_210,0.75,Potato,2,0,Pending,10000,2024-11,0
UK000211,Dehradun,Farmer_211,1.05,Rice,2,0,Rejected,11400,2024-11,0
UK000212,Dehradun,Farmer_212,0.68,Rice,2,1,Verified,9700,2024-09,0
UK000213,Dehradun,Farmer_213,0.84,Apple,2,1,Verified,11400,2024-10,0
